objectid,iso3cd,romnam,maplab,contcd,stscod,typ005,typ025,del025,isoclr,globalid,st_area_sh,st_length_
661,ABW,Aruba,Aruba (Neth.),AME,4,1,0,0,NLD,{CE2C477B-7011-47FD-8F70-DCDBB2AD3FDB},0.0153301829022,0.63977261168
662,AFG,Afghanistan,AFGHANISTAN,ASI,1,0,0,0,AFG,{323656A0-8F9E-4359-89D0-74336664356A},62.5526228735,59.4470091248
663,AGO,Angola,ANGOLA,AFR,1,0,0,0,AGO,{F1302945-10FC-4519-9C4B-7B44DDDD1A6F},103.788699396,71.3445470512
664,AIA,Anguilla,Anguilla *,AME,3,1,1,0,GBR,{AAF88995-F8F1-4F00-B539-625939E73FAD},0.00705306930381,0.719137134757
665,ALA,Åland Islands,Åland Islands (Finland),EUR,4,1,1,0,FIN,{FDC8C4B2-21FB-436E-95FE-F1AD0BB182D9},0.192470597048,17.4631972378
666,ALB,Albania,ALBANIA,EUR,1,0,2,0,ALB,{572BCE8E-B38B-4BCD-84E4-3648FE195245},3.07466324013,13.3722992482
667,AND,Andorra,ANDORRA,EUR,1,0,0,0,AND,{A4355E3F-9BBB-497B-A815-B5C6DC64D4C4},0.0509026287309,1.27111437297
668,ARE,United Arab Emirates,UNITED ARAB EMIRATES,ASI,1,2,2,0,ARE,{68EA40CE-CD48-45F1-A7BB-94819EFF1648},6.26945819955,27.9315720099
669,ARG,Argentina,ARGENTINA,AME,1,2,2,0,ARG,{9A00252F-6FED-42EC-98ED-CF716FF1D2C4},278.321847247,174.95650791
670,ARM,Armenia,ARMENIA,ASI,1,0,0,0,ARM,{A335F265-01F3-492F-9FF4-6FA7C647F18C},3.1475048177,16.3468126807
674,ATG,Antigua and Barbuda,ANTIGUA AND BARBUDA,AME,1,1,1,0,ATG,{0638F374-A7D7-4DE4-BCAE-62239B2FFFF0},0.0376638969284,2.30101150366
675,AUS,Australia,AUSTRALIA,OCE,1,2,2,0,AUS,{B2D55C77-A16B-45FC-8078-7A9A808D0472},695.557753314,503.998346867
676,AUT,Austria,AUSTRIA,EUR,1,0,0,0,AUT,{C51D10F6-6010-4C6F-B1FF-8A32829FF81E},10.0372953483,28.5605463061
677,AZE,Azerbaijan,AZERBAIJAN,ASI,1,0,0,0,AZE,{65446C33-A162-4D23-A270-8FF6E7B6F02E},17.4110675485,34.5229521514
671,ASM,American Samoa,American Samoa *,OCE,3,1,1,0,USA,{B8D4B37B-DC91-4CDA-980F-4BC0B6C5D623},0.0169166679715,1.82506709062
672,ATA,Antarctica,ANTARCTICA,--,0,2,2,0,ATA,{4E0830DE-EBB4-403C-84BC-485C43AC6D50},6041.96579858,1648.3196295
673,ATF,French Southern Territories,French Southern Territories (Fr.),AFR,4,1,1,0,FRA,{B25F63DC-17D9-4E16-AB17-47D2EFFF55BF},0.936335340047,31.4311111626
678,BDI,Burundi,BURUNDI,AFR,1,2,2,0,BDI,{565D778C-57D0-4AEC-A9E8-341108E286AF},2.1845806572,9.31704379508
679,BEL,Belgium,BELGIUM,EUR,1,0,0,0,BEL,{C54B312A-03AB-473E-9ACF-38DC5BF892E1},3.89676174076,15.7692092039
680,BEN,Benin,BENIN,AFR,1,0,0,0,BEN,{C2A35374-563F-45D5-B133-822AC9819646},9.49878429533,20.3691298429
863,SOM,Somalia,SOMALIA,AFR,1,2,0,0,SOM,{82C7AF00-7E00-4663-84F7-0F38BDEFF43A},51.8183242353,53.4018504901
681,BES,Bonaire,Bonaire (Neth.),AME,4,1,1,0,NLD,{F78E2229-EB61-4C3E-863C-0B382C8F35DD},0.0270118233216,1.40817452202
682,BFA,Burkina Faso,BURKINA FASO,AFR,1,0,0,0,BFA,{10CD2FC3-EFCD-4D5D-8829-9217CD5B825A},22.707745177,33.2902800159
683,BGD,Bangladesh,BANGLADESH,ASI,1,2,2,0,BGD,{3FE5157D-6FE5-4090-A4EC-FF893C8470EF},12.3833870986,98.443185734
684,BGR,Bulgaria,BULGARIA,EUR,1,0,0,0,BGR,{63CF4DB3-E307-4EA2-B26F-93B58956D51A},12.2156103891,24.1150790687
685,BHR,Bahrain,BAHRAIN,ASI,1,1,1,0,BHR,{67C5AB70-FD93-4013-A936-59B7338C5D85},0.0607156275066,2.7126194537
686,BHS,Bahamas,BAHAMAS,AME,1,1,1,0,BHS,{0D50CD84-0CEA-4353-9A66-1AF1D345EF99},1.18656831723,65.0068308533
687,BIH,Bosnia and Herzegovina,BOSNIA AND HERZEGOVINA,EUR,1,0,0,0,BIH,{E9A300BE-33CC-45BC-B9D0-3C7543D59AE5},5.76163661616,17.091965802
688,BLM,Saint Barthélemy,Saint Barthélemy (Fr.),AME,4,1,0,0,FRA,{583E5F37-BEDC-4EE6-B2CA-A10434F11599},0.00184800139609,0.247875626213
689,BLR,Belarus,BELARUS,EUR,1,0,0,0,BLR,{0B4766FE-AA44-4FA0-BC73-76754731659A},28.1476258074,43.4724827905
690,BLZ,Belize,BELIZE,AME,1,2,2,0,BLZ,{18DB8565-8969-4959-8581-5B1339B2E807},1.88183232297,14.5317544919
691,BMU,Bermuda,Bermuda *,AME,3,1,1,0,GBR,{3FC0FA3C-8A52-4F0D-9BC1-42949645B075},0.00607248266361,1.2652697355
692,BOL,Bolivia (Plurinational State of),BOLIVIA (PLURINATIONAL STATE OF),AME,1,0,0,0,BOL,{45759BCF-58F0-4811-9BB1-3E675B09B1EF},91.9630776633,65.0427334125
693,BRA,Brazil,BRAZIL,AME,1,2,2,0,BRA,{8F56B90A-827A-4D8E-8D1F-B0A0AA4F108A},708.010561257,324.699302512
799,MCO,Monaco,MONACO,EUR,1,0,0,0,MCO,{1BF55EA5-ECB8-4D27-A3B5-4BEE450BE841},0.000277163705838,0.0866595860667
800,MDA,Republic of Moldova,REPUBLIC OF MOLDOVA,EUR,1,0,0,0,MDA,{D1A8A8FC-1923-448B-9C04-6986D22ED31A},4.01928631056,21.1616626394
694,BRB,Barbados,BARBADOS,AME,1,1,0,0,BRB,{A49520C9-C563-4893-8D4D-32032AA5C7C4},0.0366313254344,0.824962990495
695,BRN,Brunei Darussalam,BRUNEI DARUSSALAM,ASI,1,0,0,0,BRN,{7E5E2B9E-64E3-4932-970A-3972783E2761},0.480698816681,6.18418768663
696,BTN,Bhutan,BHUTAN,ASI,1,0,0,0,BTN,{BCAA3C98-913E-4B25-AFB2-5B9B19F84F12},3.53022931088,10.8888088962
697,BVT,Bouvet Island,Bouvet Island,AFR,4,1,0,0,NOR,{8C9DDFC7-E123-42B5-8C3F-880263EF4820},0.00674068613651,0.366430870699
698,BWA,Botswana,BOTSWANA,AFR,1,0,0,0,BWA,{2820A770-7D92-440E-8913-801BFD8D7158},50.6534368807,39.4675265455
699,CAF,Central African Republic,CENTRAL AFRICAN REPUBLIC,AFR,1,0,0,0,CAF,{F42CA988-A097-4CCD-8778-F6242F8E3DA4},50.6971306267,50.0049301146
700,CAN,Canada,CANADA,AME,1,2,2,0,CAN,{37B424A5-BCBC-41F9-A79B-C53911977848},1697.77295514,3673.90474487
701,CCK,Cocos (Keeling) Islands,Cocos (Keeling) Is. (Aust.),OCE,4,1,1,0,AUS,{BB25D6B7-8086-49BF-A3E1-6D9B7212395F},0.00149759269344,0.59444729462
702,CHE,Switzerland,SWITZERLAND,EUR,1,0,0,0,CHE,{E016BF62-CC03-43E6-A5CD-572A8AB4CA1A},4.86568315462,19.7478001897
703,CHL,Chile,CHILE,AME,1,2,2,0,CHL,{63A6B8F7-31D3-4CE9-A6CE-5013D7944E00},78.7843437916,698.615945632
704,CHN,China,CHINA,ASI,1,2,2,0,CHN,{EAB5E1EC-0FEF-4573-90DA-59CAA04EB493},949.042874968,450.266138335
705,CIV,Côte d'Ivoire,CÔTE D'IVOIRE,AFR,1,0,0,0,CIV,{8BE0F857-1E7D-42D9-A004-0B249ECE2329},26.3693356819,35.9272270651
706,CMR,Cameroon,CAMEROON,AFR,1,0,0,0,CMR,{E1C5F6D4-5E9B-4D6D-BBF6-64C3BD251EFF},38.0173493288,49.9766395279
707,COD,Democratic Republic of the Congo,DEMOCRATIC REPUBLIC OF THE CONGO,AFR,1,0,0,0,COD,{258B40CB-D1F5-4D2C-84E4-B24DFA84B787},190.049201715,97.9989099955
708,COG,Congo,CONGO,AFR,1,0,0,0,COG,{6960FFF9-1DF9-4E36-A016-493B0D922ADA},27.8415587364,47.6406707176
