Port_Label,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value
"Albania, Durres",27.37,27.37,34.81,27.37
"Algeria, Algiers",132.13,128.51,129.31,120.94
"Algeria, Annaba",55.97,55.96,57.89,51.58
"Algeria, Arzew",,,,9.83
"Algeria, Bejaia",41.94,42.62,42.98,42.99
"Algeria, Djen Djen",,13.34,18.8,18.72
"Algeria, Ghazaouet",10.72,10.72,10.72,10.72
"Algeria, Mostaganem",19.73,19.09,24.23,19.09
"Algeria, Oran",42.84,55.35,51.09,50.33
"Algeria, Skikda",64.76,62.21,66.6,62.8
"American Samoa, Pago Pago",57.81,57.96,51.86,51.8
"Angola, Cabinda",8.86,8.91,8.91,8.91
"Angola, Lobito",46.96,47.57,46.52,46.52
"Angola, Luanda",118.28,126.45,125.99,133.67
"Angola, Malongo",8.6,8.61,8.61,8.61
"Angola, Namibe",36.88,37.48,36.44,36.43
"Angola, Soyo",28.23,28.25,28.25,28.5
"Antigua and Barbuda, St John's (AG)",45.57,45.62,45.62,45.62
"Argentina, Bahia Blanca",20.01,19.86,19.86,19.86
"Argentina, Buenos Aires",227.7,228.06,222.79,225.88
"Argentina, La Plata",28.52,29.01,28.89,28.89
"Argentina, Mar del Plata",11.12,11.33,19.9,19.89
"Argentina, Puerto Deseado",11.12,11.33,11.33,11.16
"Argentina, Puerto Madryn",13.58,13.43,13.43,13.43
"Argentina, Rosario",35.68,35.73,35.73,35.62
"Argentina, San Antonio Este",,13.65,13.65,
"Argentina, Ushuaia",10.26,10.26,10.26,10.26
"Argentina, Zarate",24.22,24.27,24.27,24.16
"Aruba, Barcadera",11.8,11.8,9.38,9.38
"Aruba, Oranjestad",23,42.11,42.11,41.5
"Australia, Adelaide",112.84,112.95,109.63,107.61
"Australia, Bell Bay",15.3,15.31,15.31,30.25
"Australia, Brisbane",246.39,239.65,235.26,235.77
"Australia, Burnie",18.88,18.88,18.88,18.88
"Australia, Dampier",23.2,23.06,23.06,23.06
"Australia, Darwin",28.65,29.33,29.33,29.33
"Australia, Fremantle",124.66,121.95,121.12,122.11
"Australia, Gladstone",21.82,21.18,21.18,21.18
"Australia, Melbourne",272.14,279.19,270.81,270.79
"Australia, Newcastle",30.91,30.92,21.79,29.55
"Australia, Port Hedland",8.96,14.86,14.86,14.86
"Australia, Port Kembla",10.05,10.05,10.05,10.05
"Australia, Sydney",253.6,257.55,248.57,254.65
"Australia, Townsville",56.57,58.87,58.87,58.83
"Bahamas, Freeport (BS)",179.06,179.91,170.98,179.79
"Bahamas, Nassau",39.69,34.34,34.34,34.34
"Bahrain, Bahrain",66.66,82.59,80.64,121
"Bangladesh, Chittagong",197.26,187.98,178.23,188.37
"Bangladesh, Mongla",28.49,27.63,27.7,27
"Barbados, Bridgetown",83.39,80.07,81.56,80.91
"Belgium, Antwerp",893.22,908.5,915.12,924.64
"Belgium, Ghent",11.25,11.25,11.25,11.25
"Belgium, Zeebrugge",163.54,162.79,169.51,168
"Belize, Belize City",15.27,15.26,15.26,15.26
"Belize, Big Creek",21.41,21.42,21.42,21.42
"Benin, Cotonou",127.16,118.6,121.95,121.28
"Bermuda, Hamilton (BM)",20.03,20.01,20.01,20.01
"Bonaire, Sint Eustatius and Saba, Kralendijk",11.8,11.8,9.38,9.38
"Brazil, Fortaleza",22.87,22.88,22.88,35
"Brazil, Imbituba",31.88,58.65,58.66,93.22
"Brazil, Itajai",,,,79.26
"Brazil, Itapoa",188.05,204.45,207.49,199.83
"Brazil, Macapa",44.79,44.75,44.75,45.78
"Brazil, Manaus",63.2,71.2,71.23,72.9
"Brazil, Navegantes",201.24,172.03,176.11,165.45
"Brazil, Paranagua",232.49,242.54,278.31,261.02
"Brazil, Pecem",126.31,136.25,133.42,135.55
"Brazil, Rio de Janeiro",217.88,215.28,231.35,236.01
"Brazil, Rio Grande",183.75,183.61,174.51,175.06
"Brazil, Salvador",158.55,160.31,183,180.44
"Brazil, Santos",309.06,323.45,352.27,330.35
"Brazil, Sepetiba",61.48,61.52,112.51,84.81
"Brazil, Suape",114.34,116.62,115.92,149.65
"Brazil, Vila do Conde",52.98,52.94,52.94,53.34
"Brazil, Vitoria",22.08,22.01,22.01,22.01
"British Virgin Islands, Tortola",13.5,13.5,13.5,13.5
"Brunei Darussalam, Muara",68.86,67.15,51.94,51.68
"Bulgaria, Bourgas",42.25,46.01,46.28,46.3
"Bulgaria, Varna",60.81,61.19,48.59,48.75
"Cabo Verde, Mindelo",24.04,24.07,24.07,24.07
"Cabo Verde, Palmeira",9.05,9.08,9.08,9.08
"Cabo Verde, Porto Praia",24.04,24.07,24.07,24.07
"Cabo Verde, Sal Rei",17.23,17.25,17.25,17.25
"Cambodia, Sihanoukville",128.19,126.98,127.98,130.64
"Cameroon, Douala",104.14,100.95,95.89,96.26
"Cameroon, Kribi",78.72,71.36,74.46,73.51
"Canada, Argentia",18.98,18.94,18.94,18.94
